LOCATION,TIME,Value
AUS,1990,1620.749
AUS,1991,1596.152
AUS,1992,1642.029
AUS,1993,1684.8529999999998
AUS,1994,1686.915
AUS,1995,1693.463
AUS,1996,1745.0770000000002
AUS,1997,1798.3929999999998
AUS,1998,1835.619
AUS,1999,1867.444
AUS,2000,1875.864
AUS,2001,1959.9070000000002
AUS,2002,2039.96
AUS,2003,2121.206
AUS,2004,2174.572
AUS,2005,2194.335
AUS,2006,2204.751
AUS,2007,2223.923
AUS,2008,2277.3379999999997
AUS,2009,2247.099
AUS,2010,2335.617
AUS,2011,2282.374
AUS,2012,2433.314
AUS,2013,2503.427
AUS,2014,2523.771
AUS,2015,2540.814
AUS,2016,2596.175
AUS,2017,2665.386
AUT,1990,218.487
AUT,1991,226.24099999999999
AUT,1992,213.937
AUT,1993,205.699
AUT,1994,197.945
AUT,1995,197.795
AUT,1996,216.87400000000002
AUT,1997,203.375
AUT,1998,215.828
AUT,1999,207.25599999999997
AUT,2000,212.75799999999998
AUT,2001,222.702
AUT,2002,228.554
AUT,2003,237.41
AUT,2004,234.303
AUT,2005,236.079
AUT,2006,222.90900000000002
AUT,2007,212.614
AUT,2008,196.78
AUT,2009,182.02200000000002
AUT,2010,181.49099999999999
AUT,2011,171.71099999999998
AUT,2012,166.31900000000002
AUT,2013,167.02700000000002
AUT,2014,158.415
AUT,2015,154.582
AUT,2016,149.461
AUT,2017,142.834
BEL,1990,407.32300000000004
BEL,1991,396.371
BEL,1992,385.42900000000003
BEL,1993,379.529
BEL,1994,379.469
BEL,1995,377.86800000000005
BEL,1996,366.686
BEL,1997,355.731
BEL,1998,359.0
BEL,1999,334.31800000000004
BEL,2000,339.64099999999996
BEL,2001,330.18699999999995
BEL,2002,318.404
BEL,2003,316.462
BEL,2004,328.54699999999997
BEL,2005,314.184
BEL,2006,300.10900000000004
BEL,2007,290.79400000000004
BEL,2008,263.98
BEL,2009,237.21
BEL,2010,241.09900000000002
BEL,2011,224.085
BEL,2012,210.864
BEL,2013,202.899
BEL,2014,193.571
BEL,2015,193.136
BEL,2016,181.93099999999998
BEL,2017,171.57299999999998
CAN,1990,2387.197
CAN,1991,2300.91
CAN,1992,2341.5389999999998
CAN,1993,2396.3379999999997
CAN,1994,2515.306
CAN,1995,2577.528
CAN,1996,2648.764
CAN,1997,2791.508
CAN,1998,2838.614
CAN,1999,2904.192
CAN,2000,2877.367
CAN,2001,2746.197
CAN,2002,2688.191
CAN,2003,2647.764
CAN,2004,2512.644
CAN,2005,2418.145
CAN,2006,2276.217
CAN,2007,2269.79
CAN,2008,2198.401
CAN,2009,2074.083
CAN,2010,2087.083
CAN,2011,2033.729
CAN,2012,1926.671
CAN,2013,1878.971
CAN,2014,1836.004
CAN,2015,1767.375
CAN,2016,1710.236
CAN,2017,1727.59
CZE,1990,729.433
CZE,1991,693.398
CZE,1992,652.065
CZE,1993,530.283
CZE,1994,437.298
CZE,1995,369.726
CZE,1996,350.8
CZE,1997,321.515
CZE,1998,303.365
CZE,1999,278.91700000000003
CZE,2000,279.839
CZE,2001,283.85900000000004
CZE,2002,277.881
CZE,2003,279.781
CZE,2004,280.454
CZE,2005,275.89099999999996
CZE,2006,270.914
CZE,2007,268.718
CZE,2008,252.543
CZE,2009,238.097
CZE,2010,231.877
