LOCATION,TIME,Value
AUS,1990,86.14
AUS,1991,85.12
AUS,1992,86.7
AUS,1993,91.19
AUS,1994,91.3
AUS,1995,92.51
AUS,1996,98.96
AUS,1997,101.28
AUS,1998,103.92
AUS,1999,106.19
AUS,2000,108.11
AUS,2001,105.75
AUS,2002,109.46
AUS,2003,110.8
AUS,2004,112.68
AUS,2005,113.48
AUS,2006,118.18
AUS,2007,122.23
AUS,2008,126.75
AUS,2009,127.14
AUS,2010,127.3
AUS,2011,128.2
AUS,2012,126.67
AUS,2013,127.38
AUS,2014,126.17
AUS,2015,126.61
AUS,2016,128.11
AUS,2017,127.03
AUT,1990,24.88
AUT,1991,26.49
AUT,1992,25.45
AUT,1993,25.74
AUT,1994,25.67
AUT,1995,26.82
AUT,1996,28.5
AUT,1997,28.29
AUT,1998,28.77
AUT,1999,28.71
AUT,2000,28.61
AUT,2001,30.23
AUT,2002,30.48
AUT,2003,32.13
AUT,2004,32.65
AUT,2005,33.45
AUT,2006,33.63
AUT,2007,32.91
AUT,2008,33.15
AUT,2009,31.52
AUT,2010,33.56
AUT,2011,32.55
AUT,2012,32.37
AUT,2013,33.17
AUT,2014,32.08
AUT,2015,32.64
AUT,2016,32.81
AUT,2017,33.49
BEL,1990,47.89
BEL,1991,50.05
BEL,1992,50.65
BEL,1993,49.39
BEL,1994,52.46
BEL,1995,53.34
BEL,1996,56.14
BEL,1997,56.34
BEL,1998,57.35
BEL,1999,57.38
BEL,2000,58.05
BEL,2001,57.67
BEL,2002,55.77
BEL,2003,58.2
BEL,2004,58.4
BEL,2005,58.08
BEL,2006,57.37
BEL,2007,56.26
BEL,2008,57.97
BEL,2009,55.61
BEL,2010,59.82
BEL,2011,55.98
BEL,2012,53.5
BEL,2013,55.64
BEL,2014,52.59
BEL,2015,52.48
BEL,2016,55.6
BEL,2017,55.25
CAN,1990,211.28
CAN,1991,210.77
CAN,1992,215.73
CAN,1993,222.89
CAN,1994,230.79
CAN,1995,233.86
CAN,1996,238.46
CAN,1997,240.94
CAN,1998,239.72
CAN,1999,246.4
CAN,2000,253.57
CAN,2001,249.97
CAN,2002,250.69
CAN,2003,263.9
CAN,2004,270.5
CAN,2005,273.48
CAN,2006,277.9
CAN,2007,277.13
CAN,2008,270.68
CAN,2009,259.66
CAN,2010,260.05
CAN,2011,265.78
CAN,2012,268.62
CAN,2013,273.06
CAN,2014,280.22
CAN,2015,281.3
CAN,2016,281.21
CAN,2017,289.06
CZE,1990,49.8
CZE,1991,45.23
CZE,1992,44.05
CZE,1993,42.67
CZE,1994,41.2
CZE,1995,41.75
CZE,1996,43.05
CZE,1997,43.38
CZE,1998,41.98
CZE,1999,39.17
CZE,2000,41.24
CZE,2001,42.31
CZE,2002,42.84
CZE,2003,44.72
CZE,2004,45.75
CZE,2005,45.25
CZE,2006,46.27
CZE,2007,46.2
CZE,2008,45.3
CZE,2009,42.59
CZE,2010,45.13
CZE,2011,43.5
CZE,2012,43.2
CZE,2013,43.23
CZE,2014,41.94
CZE,2015,42.0
CZE,2016,41.5
CZE,2017,43.33
DNK,1990,17.36
DNK,1991,19.25
DNK,1992,18.42
DNK,1993,18.92
DNK,1994,19.58
DNK,1995,19.4
DNK,1996,21.95
DNK,1997,20.34
DNK,1998,20.01
DNK,1999,19.17
DNK,2000,18.65
DNK,2001,19.22
DNK,2002,19.02
DNK,2003,20.11
DNK,2004,19.46
DNK,2005,18.89
DNK,2006,20.28
DNK,2007,19.81
DNK,2008,19.3
DNK,2009,18.4
DNK,2010,19.49
DNK,2011,18.0
DNK,2012,17.29
DNK,2013,17.3
DNK,2014,16.29
DNK,2015,16.29
DNK,2016,16.68
DNK,2017,17.01
FIN,1990,28.38
FIN,1991,28.79
FIN,1992,27.13
FIN,1993,28.46
FIN,1994,30.39
FIN,1995,28.92
FIN,1996,31.11
FIN,1997,32.26
FIN,1998,32.57
FIN,1999,32.46
FIN,2000,32.39
FIN,2001,33.23
FIN,2002,34.96
FIN,2003,36.87
FIN,2004,37.27
FIN,2005,34.39
FIN,2006,37.43
FIN,2007,36.86
FIN,2008,35.41
FIN,2009,33.45
FIN,2010,36.6
FIN,2011,35.19
FIN,2012,33.96
FIN,2013,33.44
FIN,2014,34.14
FIN,2015,32.41
FIN,2016,33.75
FIN,2017,33.28
FRA,1990,223.84
FRA,1991,236.6
FRA,1992,232.53
FRA,1993,236.39
FRA,1994,227.43
FRA,1995,236.88
FRA,1996,250.3
FRA,1997,242.63
FRA,1998,249.7
FRA,1999,249.29
FRA,2000,251.74
FRA,2001,260.35
FRA,2002,261.0
FRA,2003,267.6
FRA,2004,271.48
FRA,2005,272.66
FRA,2006,268.25
FRA,2007,265.31
FRA,2008,266.49
FRA,2009,254.97
FRA,2010,262.86
FRA,2011,257.06
FRA,2012,257.08
FRA,2013,258.1
FRA,2014,248.05
FRA,2015,251.8
FRA,2016,247.33
FRA,2017,247.09
DEU,1990,351.23
DEU,1991,344.32
DEU,1992,337.9
DEU,1993,334.61
DEU,1994,333.02
DEU,1995,336.5
DEU,1996,347.92
DEU,1997,344.84
DEU,1998,342.76
DEU,1999,334.98
DEU,2000,336.6
DEU,2001,346.69
DEU,2002,338.91
DEU,2003,337.07
DEU,2004,339.53
DEU,2005,337.59
DEU,2006,346.87
DEU,2007,328.57
DEU,2008,331.51
DEU,2009,310.4
DEU,2010,326.36
DEU,2011,309.87
DEU,2012,311.21
DEU,2013,317.98
DEU,2014,306.06
DEU,2015,308.17
DEU,2016,310.12
DEU,2017,311.25
GRC,1990,21.44
GRC,1991,21.62
GRC,1992,22.15
GRC,1993,21.87
GRC,1994,22.48
GRC,1995,22.68
GRC,1996,23.4
GRC,1997,24.33
GRC,1998,25.62
GRC,1999,25.72
GRC,2000,27.09
GRC,2001,28.0
GRC,2002,28.32
GRC,2003,29.14
GRC,2004,29.71
GRC,2005,30.25
GRC,2006,30.23
GRC,2007,30.22
GRC,2008,30.42
GRC,2009,29.43
GRC,2010,27.61
GRC,2011,26.74
GRC,2012,26.55
GRC,2013,23.33
GRC,2014,23.13
GRC,2015,23.19
GRC,2016,22.43
GRC,2017,23.28
HUN,1990,28.78
HUN,1991,27.42
HUN,1992,25.13
HUN,1993,25.7
HUN,1994,24.88
HUN,1995,25.86
HUN,1996,26.53
HUN,1997,26.01
HUN,1998,25.69
HUN,1999,25.5
HUN,2000,25.0
HUN,2001,25.6
HUN,2002,25.6
HUN,2003,26.14
HUN,2004,26.07
HUN,2005,28.05
HUN,2006,27.8
HUN,2007,27.25
HUN,2008,26.87
HUN,2009,25.55
HUN,2010,26.51
HUN,2011,25.93
HUN,2012,24.7
HUN,2013,23.89
HUN,2014,23.83
HUN,2015,25.2
HUN,2016,25.57
HUN,2017,26.65
ISL,1990,2.27
ISL,1991,2.08
ISL,1992,2.02
ISL,1993,2.18
ISL,1994,2.21
ISL,1995,2.21
ISL,1996,2.38
ISL,1997,2.33
ISL,1998,2.48
ISL,1999,2.78
ISL,2000,3.12
ISL,2001,3.02
ISL,2002,3.11
ISL,2003,3.11
ISL,2004,3.07
ISL,2005,3.12
ISL,2006,3.87
ISL,2007,4.59
ISL,2008,5.19
ISL,2009,5.39
ISL,2010,5.41
ISL,2011,5.79
ISL,2012,5.65
ISL,2013,5.89
ISL,2014,5.87
ISL,2015,5.58
ISL,2016,5.29
ISL,2017,5.47
IRL,1990,9.91
IRL,1991,9.99
IRL,1992,9.88
IRL,1993,10.06
IRL,1994,10.56
IRL,1995,10.65
IRL,1996,11.36
IRL,1997,11.96
IRL,1998,12.69
IRL,1999,13.31
IRL,2000,13.8
IRL,2001,14.36
IRL,2002,14.4
IRL,2003,14.05
IRL,2004,14.48
IRL,2005,14.61
IRL,2006,14.67
IRL,2007,14.99
IRL,2008,14.85
IRL,2009,14.37
IRL,2010,14.41
IRL,2011,13.15
IRL,2012,13.14
IRL,2013,13.07
IRL,2014,12.77
IRL,2015,13.29
IRL,2016,13.93
IRL,2017,13.64
ITA,1990,146.57
ITA,1991,150.18
ITA,1992,149.24
ITA,1993,148.46
ITA,1994,146.58
ITA,1995,159.14
ITA,1996,159.0
ITA,1997,161.26
ITA,1998,165.78
ITA,1999,168.33
ITA,2000,171.54
ITA,2001,172.11
ITA,2002,173.32
ITA,2003,181.62
ITA,2004,182.88
ITA,2005,186.37
ITA,2006,184.67
ITA,2007,184.08
ITA,2008,181.65
ITA,2009,169.62
ITA,2010,173.74
ITA,2011,167.97
ITA,2012,161.34
ITA,2013,155.39
ITA,2014,146.77
ITA,2015,152.56
ITA,2016,150.98
ITA,2017,153.45
JPN,1990,438.66
JPN,1991,443.2
JPN,1992,453.15
JPN,1993,455.88
JPN,1994,480.67
JPN,1995,493.17
JPN,1996,503.87
JPN,1997,509.35
JPN,1998,499.92
JPN,1999,507.9
JPN,2000,518.17
JPN,2001,509.66
JPN,2002,511.15
JPN,2003,507.68
JPN,2004,524.2
JPN,2005,522.25
JPN,2006,521.91
JPN,2007,516.63
JPN,2008,498.36
JPN,2009,475.42
JPN,2010,501.37
JPN,2011,463.89
JPN,2012,454.0
JPN,2013,454.65
JPN,2014,439.82
JPN,2015,432.06
JPN,2016,427.12
JPN,2017,432.03
KOR,1990,92.91
KOR,1991,99.87
KOR,1992,110.87
KOR,1993,124.37
KOR,1994,132.07
KOR,1995,144.75
KOR,1996,157.28
KOR,1997,171.23
KOR,1998,156.34
KOR,1999,172.89
KOR,2000,188.16
KOR,2001,191.06
KOR,2002,198.7
KOR,2003,202.75
KOR,2004,208.33
KOR,2005,210.29
KOR,2006,213.74
KOR,2007,222.24
KOR,2008,227.11
KOR,2009,229.27
KOR,2010,250.03
KOR,2011,260.5
KOR,2012,263.48
KOR,2013,263.84
KOR,2014,268.43
KOR,2015,272.68
KOR,2016,282.41
KOR,2017,282.25
LUX,1990,3.39
LUX,1991,3.62
LUX,1992,3.63
LUX,1993,3.68
LUX,1994,3.56
LUX,1995,3.15
LUX,1996,3.19
LUX,1997,3.11
LUX,1998,3.0
LUX,1999,3.13
LUX,2000,3.35
LUX,2001,3.53
LUX,2002,3.66
LUX,2003,3.86
LUX,2004,4.3
LUX,2005,4.39
LUX,2006,4.34
LUX,2007,4.22
LUX,2008,4.22
LUX,2009,3.97
LUX,2010,4.23
LUX,2011,4.19
LUX,2012,4.11
LUX,2013,3.98
LUX,2014,3.83
LUX,2015,3.74
LUX,2016,3.7
LUX,2017,3.77
MEX,1990,123.69
MEX,1991,129.86
MEX,1992,130.94
MEX,1993,133.14
MEX,1994,136.14
MEX,1995,131.79
MEX,1996,134.69
MEX,1997,141.74
MEX,1998,145.69
MEX,1999,149.9
MEX,2000,150.82
MEX,2001,155.28
MEX,2002,156.92
MEX,2003,168.16
MEX,2004,171.22
MEX,2005,180.59
MEX,2006,183.56
MEX,2007,182.78
MEX,2008,183.84
MEX,2009,179.9
MEX,2010,178.54
MEX,2011,186.93
MEX,2012,191.73
MEX,2013,191.92
MEX,2014,188.18
MEX,2015,184.89
MEX,2016,184.93
MEX,2017,180.1
NLD,1990,66.53
NLD,1991,69.11
NLD,1992,68.56
NLD,1993,70.04
NLD,1994,70.27
NLD,1995,73.17
NLD,1996,76.88
NLD,1997,74.77
NLD,1998,75.32
NLD,1999,74.09
NLD,2000,74.79
NLD,2001,76.76
NLD,2002,77.6
NLD,2003,80.48
NLD,2004,81.19
NLD,2005,79.88
NLD,2006,79.14
NLD,2007,78.85
NLD,2008,78.21
NLD,2009,77.13
NLD,2010,82.73
NLD,2011,76.98
NLD,2012,77.07
NLD,2013,75.45
NLD,2014,71.13
NLD,2015,72.12
NLD,2016,73.65
NLD,2017,74.2
NZL,1990,12.87
NZL,1991,13.19
NZL,1992,13.49
NZL,1993,14.21
NZL,1994,14.71
NZL,1995,14.93
NZL,1996,15.45
NZL,1997,16.14
NZL,1998,15.92
NZL,1999,16.56
NZL,2000,17.14
NZL,2001,17.15
NZL,2002,17.15
NZL,2003,16.93
NZL,2004,17.38
NZL,2005,16.96
NZL,2006,16.97
NZL,2007,17.16
NZL,2008,17.42
NZL,2009,17.56
NZL,2010,18.4
NZL,2011,18.35
NZL,2012,19.21
NZL,2013,19.34
NZL,2014,20.54
NZL,2015,20.68
NZL,2016,20.56
NZL,2017,20.7
NOR,1990,21.07
NOR,1991,21.76
NOR,1992,22.12
NOR,1993,23.54
NOR,1994,23.05
NOR,1995,23.5
NOR,1996,22.79
NOR,1997,24.12
NOR,1998,25.19
NOR,1999,26.38
NOR,2000,26.16
NOR,2001,26.88
NOR,2002,24.96
NOR,2003,27.08
NOR,2004,26.49
NOR,2005,26.83
NOR,2006,27.19
NOR,2007,27.61
NOR,2008,32.2
NOR,2009,31.31
NOR,2010,29.41
NOR,2011,26.4
NOR,2012,27.5
NOR,2013,28.57
NOR,2014,28.37
NOR,2015,28.43
NOR,2016,27.21
NOR,2017,29.98
POL,1990,103.12
POL,1991,101.01
POL,1992,98.57
POL,1993,100.98
POL,1994,96.17
POL,1995,99.51
POL,1996,103.52
POL,1997,102.06
POL,1998,95.15
POL,1999,92.66
POL,2000,88.83
POL,2001,89.43
POL,2002,88.41
POL,2003,90.75
POL,2004,91.02
POL,2005,92.14
POL,2006,96.83
POL,2007,96.43
POL,2008,97.74
POL,2009,93.98
POL,2010,100.51
POL,2011,100.98
POL,2012,97.58
POL,2013,97.66
POL,2014,94.03
POL,2015,94.92
POL,2016,99.29
POL,2017,103.84
PRT,1990,16.78
PRT,1991,16.96
PRT,1992,18.05
PRT,1993,17.8
PRT,1994,18.26
PRT,1995,20.19
PRT,1996,19.99
PRT,1997,21.06
PRT,1998,22.76
PRT,1999,24.42
PRT,2000,24.59
PRT,2001,24.78
PRT,2002,25.82
PRT,2003,25.11
PRT,2004,25.82
PRT,2005,26.46
PRT,2006,25.15
PRT,2007,25.33
PRT,2008,24.68
PRT,2009,24.35
PRT,2010,23.5
PRT,2011,22.85
PRT,2012,21.44
PRT,2013,21.5
PRT,2014,21.17
PRT,2015,21.97
PRT,2016,21.81
PRT,2017,22.77
SVK,1990,21.33
SVK,1991,19.13
SVK,1992,18.09
SVK,1993,17.76
SVK,1994,17.43
SVK,1995,17.78
SVK,1996,18.08
SVK,1997,18.1
SVK,1998,17.56
SVK,1999,17.65
SVK,2000,17.74
SVK,2001,18.59
SVK,2002,18.73
SVK,2003,18.64
SVK,2004,18.35
SVK,2005,18.83
SVK,2006,18.64
SVK,2007,17.85
SVK,2008,18.32
SVK,2009,16.74
SVK,2010,17.83
SVK,2011,17.35
SVK,2012,16.66
SVK,2013,16.95
SVK,2014,15.95
SVK,2015,16.39
SVK,2016,16.5
SVK,2017,17.4
ESP,1990,90.09
ESP,1991,93.45
ESP,1992,95.19
ESP,1993,91.3
ESP,1994,96.34
ESP,1995,100.78
ESP,1996,99.3
ESP,1997,105.54
ESP,1998,110.87
ESP,1999,116.23
ESP,2000,121.86
ESP,2001,125.04
ESP,2002,128.77
ESP,2003,133.2
ESP,2004,139.0
ESP,2005,141.94
ESP,2006,141.82
ESP,2007,143.83
ESP,2008,139.06
ESP,2009,127.83
ESP,2010,127.69
ESP,2011,125.75
ESP,2012,125.55
ESP,2013,117.18
ESP,2014,114.58
ESP,2015,118.9
ESP,2016,119.87
ESP,2017,126.01
SWE,1990,47.2
SWE,1991,48.69
SWE,1992,46.54
SWE,1993,46.5
SWE,1994,49.7
SWE,1995,50.33
SWE,1996,51.5
SWE,1997,50.17
SWE,1998,51.06
SWE,1999,50.15
SWE,2000,47.55
SWE,2001,50.53
SWE,2002,51.78
SWE,2003,50.62
SWE,2004,52.59
SWE,2005,51.59
SWE,2006,50.23
SWE,2007,49.96
SWE,2008,49.58
SWE,2009,45.42
SWE,2010,50.91
SWE,2011,49.61
SWE,2012,50.11
SWE,2013,49.29
SWE,2014,48.2
SWE,2015,44.78
SWE,2016,49.2
SWE,2017,49.17
CHE,1990,24.29
CHE,1991,24.65
CHE,1992,24.76
CHE,1993,24.14
CHE,1994,24.36
CHE,1995,24.0
CHE,1996,24.46
CHE,1997,24.9
CHE,1998,25.2
CHE,1999,25.24
CHE,2000,24.9
CHE,2001,26.45
CHE,2002,25.77
CHE,2003,25.87
CHE,2004,25.96
CHE,2005,25.8
CHE,2006,26.94
CHE,2007,25.59
CHE,2008,26.57
CHE,2009,26.75
CHE,2010,25.94
CHE,2011,25.12
CHE,2012,25.32
CHE,2013,26.41
CHE,2014,24.76
CHE,2015,24.19
CHE,2016,23.53
CHE,2017,23.68
TUR,1990,51.44
TUR,1991,50.58
TUR,1992,52.85
TUR,1993,56.35
TUR,1994,55.66
TUR,1995,60.9
TUR,1996,66.48
TUR,1997,69.75
TUR,1998,70.81
TUR,1999,69.75
TUR,2000,76.29
TUR,2001,70.26
TUR,2002,74.24
TUR,2003,78.68
TUR,2004,80.72
TUR,2005,83.99
TUR,2006,93.07
TUR,2007,100.32
TUR,2008,98.42
TUR,2009,98.27
TUR,2010,105.72
TUR,2011,112.51
TUR,2012,117.82
TUR,2013,115.04
TUR,2014,119.1
TUR,2015,128.81
TUR,2016,136.72
TUR,2017,146.8
GBR,1990,205.94
GBR,1991,212.93
GBR,1992,212.17
GBR,1993,214.33
GBR,1994,216.06
GBR,1995,216.39
GBR,1996,225.71
GBR,1997,219.32
GBR,1998,221.52
GBR,1999,222.07
GBR,2000,222.99
GBR,2001,223.81
GBR,2002,220.66
GBR,2003,224.52
GBR,2004,221.81
GBR,2005,222.85
GBR,2006,219.11
GBR,2007,211.17
GBR,2008,208.83
GBR,2009,196.36
GBR,2010,203.67
GBR,2011,188.83
GBR,2012,193.86
GBR,2013,191.04
GBR,2014,179.97
GBR,2015,181.67
GBR,2016,179.17
GBR,2017,175.88
USA,1990,1915.02
USA,1991,1930.75
USA,1992,1969.47
USA,1993,2004.12
USA,1994,2041.25
USA,1995,2067.31
USA,1996,2113.28
USA,1997,2134.45
USA,1998,2152.65
USA,1999,2210.94
USA,2000,2273.78
USA,2001,2230.68
USA,2002,2256.07
USA,2003,2261.3
USA,2004,2307.91
USA,2005,2318.92
USA,2006,2296.93
USA,2007,2337.47
USA,2008,2277.24
USA,2009,2164.84
USA,2010,2216.89
USA,2011,2186.79
USA,2012,2147.61
USA,2013,2184.64
USA,2014,2210.7
USA,2015,2187.39
USA,2016,2163.47
USA,2017,2155.23
OEU,1990,1642.78
OEU,1991,1662.83
OEU,1992,1633.92
OEU,1993,1636.11
OEU,1994,1631.33
OEU,1995,1678.39
OEU,1996,1739.52
OEU,1997,1732.42
OEU,1998,1749.09
OEU,1999,1741.79
OEU,2000,1758.98
OEU,2001,1792.9
OEU,2002,1792.63
OEU,2003,1835.28
OEU,2004,1854.28
OEU,2005,1863.31
OEU,2006,1879.63
OEU,2007,1855.47
OEU,2008,1853.29
OEU,2009,1758.56
OEU,2010,1828.15
OEU,2011,1766.83
OEU,2012,1761.38
OEU,2013,1747.75
OEU,2014,1688.37
OEU,2015,1714.86
OEU,2016,1730.88
OEU,2017,1761.25
ALB,1990,2.67
ALB,1991,1.87
ALB,1992,1.36
ALB,1993,1.33
ALB,1994,1.42
ALB,1995,1.33
ALB,1996,1.42
ALB,1997,1.21
ALB,1998,1.33
ALB,1999,1.79
ALB,2000,1.79
ALB,2001,1.83
ALB,2002,2.01
ALB,2003,1.97
ALB,2004,2.17
ALB,2005,2.17
ALB,2006,2.12
ALB,2007,2.02
ALB,2008,2.09
ALB,2009,2.14
ALB,2010,2.12
ALB,2011,2.22
ALB,2012,2.0
ALB,2013,2.32
ALB,2014,2.34
ALB,2015,2.19
ALB,2016,2.25
ALB,2017,2.35
DZA,1990,22.19
DZA,1991,23.47
DZA,1992,24.02
DZA,1993,24.11
DZA,1994,23.24
DZA,1995,24.25
DZA,1996,23.48
DZA,1997,24.06
DZA,1998,24.9
DZA,1999,26.58
DZA,2000,27.0
DZA,2001,27.05
DZA,2002,28.94
DZA,2003,30.76
DZA,2004,31.14
DZA,2005,32.42
DZA,2006,34.72
DZA,2007,36.84
DZA,2008,37.28
DZA,2009,40.77
DZA,2010,40.09
DZA,2011,41.82
DZA,2012,45.97
DZA,2013,47.59
DZA,2014,51.77
DZA,2015,54.29
DZA,2016,53.75
DZA,2017,55.52
ARG,1990,46.07
ARG,1991,47.49
ARG,1992,49.94
ARG,1993,50.09
ARG,1994,53.28
ARG,1995,54.05
ARG,1996,56.05
ARG,1997,57.84
ARG,1998,59.82
ARG,1999,60.84
ARG,2000,61.57
ARG,2001,58.56
ARG,2002,56.92
ARG,2003,60.9
ARG,2004,66.53
ARG,2005,66.93
ARG,2006,72.82
ARG,2007,73.76
ARG,2008,77.67
ARG,2009,75.52
ARG,2010,78.68
ARG,2011,80.55
ARG,2012,81.03
ARG,2013,83.15
ARG,2014,83.52
ARG,2015,85.57
ARG,2016,86.31
ARG,2017,85.35
ARM,1990,7.71
ARM,1991,8.13
ARM,1992,4.13
ARM,1993,2.19
ARM,1994,1.38
ARM,1995,1.64
ARM,1996,1.78
ARM,1997,1.86
ARM,1998,1.9
ARM,1999,1.83
ARM,2000,2.01
ARM,2001,2.01
ARM,2002,1.88
ARM,2003,1.98
ARM,2004,2.09
ARM,2005,2.51
ARM,2006,2.56
ARM,2007,2.85
ARM,2008,3.0
ARM,2009,2.61
ARM,2010,2.48
ARM,2011,2.72
ARM,2012,2.97
