LOCATION,TIME,Value
AUS,1990,5728.46
AUS,1991,5747.308000000001
AUS,1992,5896.593000000001
AUS,1993,6120.709
AUS,1994,6262.916
AUS,1995,6107.829000000001
AUS,1996,6281.889
AUS,1997,6297.543000000001
AUS,1998,5941.221
AUS,1999,5803.816999999999
AUS,2000,5387.306
AUS,2001,5121.710999999999
AUS,2002,4985.813
AUS,2003,4499.161
AUS,2004,4593.24
AUS,2005,3973.013
AUS,2006,3944.595
AUS,2007,3382.893
AUS,2008,3226.74
AUS,2009,3158.219
AUS,2010,2994.7909999999997
AUS,2011,2939.8390000000004
AUS,2012,2902.792
AUS,2013,2838.238
AUS,2014,2768.8959999999997
AUS,2015,2721.381
AUS,2016,2648.313
AUS,2017,2815.042
AUT,1990,1179.478
AUT,1991,1175.156
AUT,1992,1119.685
AUT,1993,1063.8039999999999
AUT,1994,1007.768
AUT,1995,914.243
AUT,1996,922.687
AUT,1997,863.222
AUT,1998,828.179
AUT,1999,723.67
AUT,2000,728.242
AUT,2001,708.173
AUT,2002,683.222
AUT,2003,691.091
AUT,2004,680.747
AUT,2005,616.616
AUT,2006,608.234
AUT,2007,577.364
AUT,2008,555.5740000000001
AUT,2009,536.446
AUT,2010,551.322
AUT,2011,522.927
AUT,2012,523.556
AUT,2013,564.124
AUT,2014,520.08
AUT,2015,537.5980000000001
AUT,2016,533.332
AUT,2017,527.241
BEL,1990,1386.3039999999999
BEL,1991,1340.2620000000002
BEL,1992,1312.1270000000002
BEL,1993,1224.26
BEL,1994,1123.972
BEL,1995,1107.683
BEL,1996,1078.277
BEL,1997,983.977
BEL,1998,940.2360000000001
BEL,1999,864.56
BEL,2000,925.5989999999999
BEL,2001,877.6210000000001
BEL,2002,863.1110000000001
BEL,2003,837.382
BEL,2004,798.857
BEL,2005,752.186
BEL,2006,697.352
BEL,2007,652.335
BEL,2008,653.068
BEL,2009,426.566
BEL,2010,496.185
BEL,2011,393.63199999999995
BEL,2012,343.25699999999995
BEL,2013,518.376
BEL,2014,318.81
BEL,2015,371.31800000000004
BEL,2016,359.29900000000004
BEL,2017,291.693
CAN,1990,12380.47
CAN,1991,12163.55
CAN,1992,11992.0
CAN,1993,12320.8
CAN,1994,12341.5
CAN,1995,12150.79
CAN,1996,11771.6
CAN,1997,11390.72
CAN,1998,11371.52
CAN,1999,11123.77
CAN,2000,10850.05
CAN,2001,10008.69
CAN,2002,9819.604
CAN,2003,9500.119
CAN,2004,8945.681
CAN,2005,7963.996999999999
CAN,2006,7462.758000000001
CAN,2007,7296.66
CAN,2008,7102.399
CAN,2009,6741.941
CAN,2010,6665.003000000001
CAN,2011,6231.994000000001
CAN,2012,6020.714
CAN,2013,5916.666
CAN,2014,5809.794
CAN,2015,5717.0830000000005
CAN,2016,5668.635
CAN,2017,5655.203
CZE,1990,2070.889
CZE,1991,1958.515
CZE,1992,1928.375
CZE,1993,1711.269
CZE,1994,1639.513
CZE,1995,1561.711
CZE,1996,1625.5420000000001
CZE,1997,1479.734
CZE,1998,1261.969
CZE,1999,1123.2730000000001
CZE,2000,1074.6589999999999
CZE,2001,1058.399
CZE,2002,1018.176
CZE,2003,1033.116
CZE,2004,1020.585
CZE,2005,934.4630000000001
CZE,2006,939.082
CZE,2007,938.758
CZE,2008,885.632
CZE,2009,903.316
CZE,2010,926.715
CZE,2011,896.528
CZE,2012,882.706
CZE,2013,883.0889999999999
CZE,2014,843.176
CZE,2015,825.654
CZE,2016,820.002
CZE,2017,818.982
DNK,1990,713.415
DNK,1991,743.4839999999999
DNK,1992,725.4889999999999
DNK,1993,711.791
DNK,1994,671.576
DNK,1995,638.675
DNK,1996,617.096
DNK,1997,570.7080000000001
DNK,1998,533.361
DNK,1999,485.091
DNK,2000,464.718
DNK,2001,454.85900000000004
DNK,2002,431.66
DNK,2003,433.75300000000004
DNK,2004,416.95099999999996
DNK,2005,417.58099999999996
DNK,2006,404.916
DNK,2007,407.67
DNK,2008,386.144
DNK,2009,353.504
DNK,2010,345.82199999999995
DNK,2011,304.39799999999997
DNK,2012,286.673
DNK,2013,272.656
DNK,2014,249.07299999999998
DNK,2015,253.252
DNK,2016,243.28400000000002
DNK,2017,240.575
FIN,1990,708.1610000000001
FIN,1991,683.8539999999999
FIN,1992,669.9910000000001
FIN,1993,650.7769999999999
FIN,1994,631.52
FIN,1995,616.3380000000001
FIN,1996,608.571
FIN,1997,601.029
FIN,1998,586.7230000000001
FIN,1999,572.862
FIN,2000,545.2869999999999
FIN,2001,545.12
FIN,2002,530.99
FIN,2003,510.772
FIN,2004,492.434
FIN,2005,465.75199999999995
FIN,2006,454.661
FIN,2007,437.077
FIN,2008,414.967
FIN,2009,394.881
FIN,2010,406.275
FIN,2011,368.838
FIN,2012,364.88300000000004
FIN,2013,350.923
FIN,2014,345.30300000000005
FIN,2015,328.708
FIN,2016,334.94300000000004
FIN,2017,326.117
FRA,1990,10280.11
FRA,1991,10792.26
FRA,1992,10081.62
FRA,1993,9626.399
FRA,1994,8933.404
FRA,1995,8964.139000000001
FRA,1996,8407.44
FRA,1997,7863.203
FRA,1998,7565.479
FRA,1999,7140.475
FRA,2000,6501.545
FRA,2001,6141.225
FRA,2002,5921.653
FRA,2003,5630.348000000001
FRA,2004,5731.04
FRA,2005,5235.573
FRA,2006,4656.7609999999995
FRA,2007,4491.071
FRA,2008,4276.554
FRA,2009,3811.7129999999997
FRA,2010,4206.152
FRA,2011,3530.502
FRA,2012,3189.599
FRA,2013,3253.64
FRA,2014,2726.5820000000003
FRA,2015,2683.175
FRA,2016,2733.047
FRA,2017,2689.949
DEU,1990,12543.65
DEU,1991,10317.6
DEU,1992,8932.45
DEU,1993,8134.865
DEU,1994,6779.378000000001
DEU,1995,6482.4580000000005
DEU,1996,6028.376
DEU,1997,5891.4980000000005
DEU,1998,5449.42
DEU,1999,5107.879
DEU,2000,4830.899
DEU,2001,4655.124
DEU,2002,4379.838
DEU,2003,4199.604
DEU,2004,3961.349
DEU,2005,3753.185
DEU,2006,3656.683
DEU,2007,3540.3509999999997
DEU,2008,3430.937
DEU,2009,2980.514
DEU,2010,3346.6929999999998
DEU,2011,3259.0009999999997
DEU,2012,2887.2270000000003
DEU,2013,2858.665
DEU,2014,2757.421
DEU,2015,2864.302
DEU,2016,2801.678
DEU,2017,2828.1859999999997
GRC,1990,1097.953
GRC,1991,1092.873
GRC,1992,1042.595
GRC,1993,1041.0230000000001
GRC,1994,1020.433
GRC,1995,929.175
GRC,1996,930.553
GRC,1997,925.742
GRC,1998,926.127
GRC,1999,927.946
GRC,2000,878.802
GRC,2001,878.298
GRC,2002,816.803
GRC,2003,779.044
GRC,2004,772.743
GRC,2005,717.7510000000001
GRC,2006,739.132
GRC,2007,673.3910000000001
GRC,2008,630.5830000000001
GRC,2009,575.872
GRC,2010,521.9830000000001
GRC,2011,477.426
GRC,2012,504.00699999999995
GRC,2013,417.793
GRC,2014,417.175
GRC,2015,396.88800000000003
GRC,2016,352.02099999999996
GRC,2017,366.49699999999996
HUN,1990,1412.825
HUN,1991,1304.714
HUN,1992,1034.185
HUN,1993,1118.705
HUN,1994,994.1030000000001
HUN,1995,963.625
HUN,1996,933.75
HUN,1997,883.243
HUN,1998,809.709
HUN,1999,785.943
HUN,2000,829.4580000000001
HUN,2001,839.0010000000001
HUN,2002,691.076
HUN,2003,816.6410000000001
HUN,2004,749.819
HUN,2005,681.7310000000001
HUN,2006,581.683
HUN,2007,539.222
HUN,2008,480.371
HUN,2009,521.197
HUN,2010,523.145
HUN,2011,530.0880000000001
HUN,2012,545.515
HUN,2013,537.817
HUN,2014,460.125
HUN,2015,444.916
HUN,2016,436.43
HUN,2017,422.376
ISL,1990,70.193
ISL,1991,69.676
ISL,1992,68.997
ISL,1993,68.764
ISL,1994,68.807
ISL,1995,63.55
ISL,1996,65.626
ISL,1997,58.776
ISL,1998,65.811
ISL,1999,61.262
ISL,2000,64.172
ISL,2001,62.391999999999996
ISL,2002,61.835
ISL,2003,60.476000000000006
ISL,2004,60.847
ISL,2005,60.611999999999995
ISL,2006,66.738
ISL,2007,78.84
ISL,2008,117.756
ISL,2009,118.85799999999999
ISL,2010,117.105
ISL,2011,114.238
ISL,2012,115.234
ISL,2013,116.61
ISL,2014,123.59200000000001
ISL,2015,118.405
ISL,2016,117.31200000000001
ISL,2017,121.28299999999999
IRL,1990,349.274
IRL,1991,342.47
IRL,1992,328.402
IRL,1993,311.08
IRL,1994,295.105
IRL,1995,291.129
IRL,1996,287.605
IRL,1997,268.14799999999997
IRL,1998,271.965
IRL,1999,255.96099999999998
IRL,2000,245.362
IRL,2001,241.16400000000002
IRL,2002,229.50900000000001
IRL,2003,220.095
IRL,2004,215.52
IRL,2005,214.00400000000002
IRL,2006,196.86900000000003
IRL,2007,183.827
IRL,2008,176.072
IRL,2009,154.938
IRL,2010,141.744
IRL,2011,130.469
IRL,2012,123.541
IRL,2013,116.693
IRL,2014,110.037
IRL,2015,107.125
IRL,2016,100.83200000000001
IRL,2017,87.3
ITA,1990,7213.021
ITA,1991,7553.003000000001
ITA,1992,7666.808000000001
ITA,1993,7752.859
ITA,1994,7334.219
ITA,1995,7260.929
ITA,1996,6968.137
ITA,1997,6528.637
ITA,1998,6063.854
ITA,1999,5613.549
ITA,2000,4897.357
ITA,2001,4574.168
ITA,2002,3986.26
ITA,2003,4038.3070000000002
ITA,2004,3477.506
ITA,2005,3509.7459999999996
ITA,2006,3362.69
ITA,2007,3423.155
ITA,2008,3548.6209999999996
ITA,2009,3154.986
ITA,2010,3121.114
ITA,2011,2478.159
ITA,2012,2704.452
ITA,2013,2535.311
ITA,2014,2298.637
ITA,2015,2343.015
ITA,2016,2268.535
ITA,2017,2330.4829999999997
JPN,1990,4359.054
JPN,1991,4320.4490000000005
JPN,1992,4169.704000000001
JPN,1993,4077.117
JPN,1994,4091.617
JPN,1995,4043.7329999999997
JPN,1996,3962.2090000000003
JPN,1997,3927.132
JPN,1998,3764.735
JPN,1999,3729.998
JPN,2000,3764.849
JPN,2001,3574.313
JPN,2002,3446.0229999999997
JPN,2003,3374.533
JPN,2004,3277.34
JPN,2005,2956.422
JPN,2006,2961.9159999999997
JPN,2007,2954.187
JPN,2008,2758.525
JPN,2009,2662.447
JPN,2010,3295.4829999999997
JPN,2011,2726.7270000000003
JPN,2012,2807.362
JPN,2013,2724.875
JPN,2014,2626.1079999999997
JPN,2015,2510.936
JPN,2016,2783.2329999999997
JPN,2017,2656.052
KOR,1999,885.179
KOR,2000,900.569
KOR,2001,845.076
KOR,2002,822.7669999999999
KOR,2003,805.414
KOR,2004,816.954
KOR,2005,788.9169999999999
KOR,2006,829.938
KOR,2007,801.992
KOR,2008,696.13
KOR,2009,810.2460000000001
KOR,2010,759.6239999999999
KOR,2011,710.284
KOR,2012,697.054
KOR,2013,689.817
KOR,2014,587.995
KOR,2015,714.939
KOR,2016,718.2769999999999
LUX,1990,466.05400000000003
LUX,1991,453.67400000000004
LUX,1992,415.719
LUX,1993,427.908
LUX,1994,364.041
LUX,1995,211.226
LUX,1996,194.326
LUX,1997,133.031
LUX,1998,57.191
LUX,1999,55.965
LUX,2000,42.635
LUX,2001,44.222
LUX,2002,41.246
LUX,2003,40.281
LUX,2004,42.534
LUX,2005,38.157
LUX,2006,35.602
LUX,2007,39.137
LUX,2008,33.449
LUX,2009,29.706999999999997
LUX,2010,28.581
LUX,2011,26.214000000000002
LUX,2012,26.805999999999997
LUX,2013,26.180999999999997
LUX,2014,24.666999999999998
LUX,2015,20.711
LUX,2016,21.613000000000003
LUX,2017,21.899
NLD,1990,1141.272
NLD,1991,1043.975
NLD,1992,1004.061
NLD,1993,978.25
NLD,1994,930.212
NLD,1995,920.947
NLD,1996,904.794
NLD,1997,850.918
NLD,1998,818.675
NLD,1999,789.556
NLD,2000,753.18
NLD,2001,751.1160000000001
NLD,2002,742.1469999999999
NLD,2003,736.3560000000001
NLD,2004,746.32
NLD,2005,727.211
NLD,2006,738.466
NLD,2007,726.018
NLD,2008,730.559
NLD,2009,680.21
NLD,2010,677.797
NLD,2011,652.687
NLD,2012,619.726
NLD,2013,590.191
NLD,2014,566.438
NLD,2015,568.32
NLD,2016,556.632
NLD,2017,556.482
NZL,1990,602.788
NZL,1991,594.27
NZL,1992,601.006
NZL,1993,604.089
NZL,1994,632.6709999999999
NZL,1995,637.746
NZL,1996,637.384
NZL,1997,658.53
NZL,1998,664.529
NZL,1999,677.3560000000001
NZL,2000,678.687
NZL,2001,684.31
NZL,2002,704.296
NZL,2003,721.1460000000001
NZL,2004,740.1610000000001
NZL,2005,732.83
NZL,2006,733.6510000000001
NZL,2007,747.22
NZL,2008,726.735
NZL,2009,710.883
NZL,2010,724.7669999999999
NZL,2011,712.584
NZL,2012,706.179
NZL,2013,702.7669999999999
NZL,2014,702.683
NZL,2015,713.569
NZL,2016,729.77
NZL,2017,746.044
NOR,1990,875.9839999999999
NOR,1991,825.7439999999999
NOR,1992,790.8510000000001
NOR,1993,802.084
NOR,1994,797.14
NOR,1995,776.332
NOR,1996,757.9830000000001
NOR,1997,748.2189999999999
NOR,1998,726.8910000000001
NOR,1999,699.7919999999999
NOR,2000,681.923
NOR,2001,665.562
NOR,2002,657.295
NOR,2003,634.8330000000001
NOR,2004,605.675
NOR,2005,608.849
NOR,2006,585.818
NOR,2007,570.153
NOR,2008,556.5740000000001
NOR,2009,507.62199999999996
NOR,2010,519.169
NOR,2011,491.75
NOR,2012,483.903
NOR,2013,451.957
NOR,2014,432.147
NOR,2015,436.671
NOR,2016,432.787
NOR,2017,435.73800000000006
POL,1990,3649.823
POL,1991,4217.478
POL,1992,4203.772
POL,1993,4848.9
POL,1994,4578.981
POL,1995,4666.407999999999
POL,1996,4844.701
POL,1997,4530.941
POL,1998,3955.972
POL,1999,3925.1220000000003
POL,2000,3358.776
POL,2001,3200.7740000000003
POL,2002,3198.6929999999998
POL,2003,3090.045
POL,2004,3092.973
POL,2005,3092.5879999999997
POL,2006,3231.635
POL,2007,2999.6929999999998
POL,2008,3011.903
POL,2009,2943.046
POL,2010,3081.577
POL,2011,2786.88
POL,2012,2792.844
POL,2013,2661.84
POL,2014,2391.97
POL,2015,2346.9139999999998
POL,2016,2460.742
POL,2017,2547.502
